Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-OUTUBRO-6,completed,355390.0,355390,360244,1.69,–,600.0,1.01365823,199.0,3.01507538,199.0,0.05599482,2.0979021,,,2023-06-01,2023-11-30
2023-OUTUBRO-7,inactive,355390.0,355390,360244,1.69,–,600.0,1.01365823,199.0,3.01507538,199.0,0.05599482,2.0979021,,,2023-06-01,2023-11-30
2023-OUTUBRO-8,completed,337024.0,337024,345394,1.78,–,600.0,1.02483503,227.0,2.64317181,225.0,0.06676082,2.0,,,2023-06-01,2023-11-30
2023-OUTUBRO-9,inactive,337024.0,337024,345394,1.78,–,600.0,1.02483503,227.0,2.64317181,225.0,0.06676082,2.0,,,2023-06-01,2023-11-30
2023-OUTUBRO-10,completed,252435.0,252435,263659,2.38,–,600.0,1.04446293,,,,,0.96774194,,,2023-06-01,2023-11-30
2023-OUTUBRO-11,inactive,252435.0,252435,263659,2.38,–,600.0,1.04446293,,,,,0.96774194,,,2023-06-01,2023-11-30
2023-OUTUBRO-12,completed,150048.0,150048,150218,3.33,–,500.0,1.00113297,100.0,5.0,99.0,0.06597889,3.4965035,,,2023-06-01,2023-11-30
2023-OUTUBRO-13,inactive,150048.0,150048,150218,3.33,–,500.0,1.00113297,100.0,5.0,99.0,0.06597889,3.4965035,,,2023-06-01,2023-11-30
2023-OUTUBRO-14,completed,289922.0,289922,294414,1.72,–,500.0,1.01549382,143.0,3.4965035,143.0,0.04932361,2.34741784,,,2023-06-01,2023-11-30
2023-OUTUBRO-15,inactive,289922.0,289922,294414,1.72,–,500.0,1.01549382,143.0,3.4965035,143.0,0.04932361,2.34741784,,,2023-06-01,2023-11-30
2023-OUTUBRO-16,completed,292158.0,292158,295051,1.71,–,500.0,1.00990218,176.0,2.84090909,176.0,0.06024138,2.12765957,,,2023-06-01,2023-11-30
2023-OUTUBRO-17,inactive,292158.0,292158,295051,1.71,–,500.0,1.00990218,176.0,2.84090909,176.0,0.06024138,2.12765957,,,2023-06-01,2023-11-30
2023-OUTUBRO-18,completed,152508.0,152508,154022,3.28,–,500.0,1.00992735,144.0,3.47222222,143.0,0.09376557,2.65957447,,,2023-06-01,2023-11-30
2023-OUTUBRO-19,inactive,152508.0,152508,154022,3.28,–,500.0,1.00992735,144.0,3.47222222,143.0,0.09376557,2.65957447,,,2023-06-01,2023-11-30
2023-OUTUBRO-20,completed,275853.0,275853,279691,1.74,–,479.86,1.01391321,1.0,479.86,1.0,0.00036251,0.53317778,,,2023-06-01,2023-11-30
2023-OUTUBRO-21,inactive,275853.0,275853,279691,1.74,–,479.86,1.01391321,1.0,479.86,1.0,0.00036251,0.53317778,,,2023-06-01,2023-11-30
2023-OUTUBRO-22,completed,162081.0,162081,165482,2.59,–,420.0,1.02098334,,,,,1.06329114,,,2023-06-01,2023-11-30
2023-OUTUBRO-23,inactive,162081.0,162081,165482,2.59,–,420.0,1.02098334,,,,,1.06329114,,,2023-06-01,2023-11-30
2023-OUTUBRO-24,completed,126872.0,126872,131506,2.36,–,300.0,1.036525,2.0,150.0,2.0,0.00157639,0.61601643,,,2023-06-01,2023-11-30
2023-OUTUBRO-25,inactive,126872.0,126872,131506,2.36,–,300.0,1.036525,2.0,150.0,2.0,0.00157639,0.61601643,,,2023-06-01,2023-11-30
2023-OUTUBRO-26,completed,133093.0,133093,136796,2.25,–,300.0,1.02782265,21.0,14.28571429,21.0,0.01577844,1.01351351,,,2023-06-01,2023-11-30
2023-OUTUBRO-27,inactive,133093.0,133093,136796,2.25,–,300.0,1.02782265,21.0,14.28571429,21.0,0.01577844,1.01351351,,,2023-06-01,2023-11-30
2023-OUTUBRO-28,completed,157695.0,157695,159869,1.9,–,300.0,1.01378611,79.0,3.79746835,79.0,0.05009671,1.92307692,,,2023-06-01,2023-11-30
2023-OUTUBRO-29,inactive,157695.0,157695,159869,1.9,–,300.0,1.01378611,79.0,3.79746835,79.0,0.05009671,1.92307692,,,2023-06-01,2023-11-30
2023-OUTUBRO-30,completed,163316.0,163316,170220,1.84,–,300.0,1.04227387,60.0,5.0,58.0,0.03551397,0.72815534,,,2023-06-01,2023-11-30
2023-OUTUBRO-31,inactive,163316.0,163316,170220,1.84,–,300.0,1.04227387,60.0,5.0,58.0,0.03551397,0.72815534,,,2023-06-01,2023-11-30
2023-OUTUBRO-32,completed,153120.0,153120,155576,1.96,–,300.0,1.01603971,94.0,3.19148936,93.0,0.06073668,2.0,,,2023-06-01,2023-11-30
2023-OUTUBRO-33,inactive,153120.0,153120,155576,1.96,–,300.0,1.01603971,94.0,3.19148936,93.0,0.06073668,2.0,,,2023-06-01,2023-11-30
2023-OUTUBRO-34,completed,177747.0,177747,184569,1.69,–,300.0,1.03838039,258.0,1.1627907,255.0,0.14346234,0.6147541,,,2023-06-01,2023-11-30
2023-OUTUBRO-35,inactive,177747.0,177747,184569,1.69,–,300.0,1.03838039,258.0,1.1627907,255.0,0.14346234,0.6147541,,,2023-06-01,2023-11-30
2023-OUTUBRO-36,completed,159635.0,159635,162467,1.88,–,300.0,1.01774047,200.0,1.5,199.0,0.12465938,0.8,,,2023-06-01,2023-11-30
2023-OUTUBRO-37,inactive,159635.0,159635,162467,1.88,–,300.0,1.01774047,200.0,1.5,199.0,0.12465938,0.8,,,2023-06-01,2023-11-30
2023-OUTUBRO-38,completed,115158.0,115158,118073,1.74,–,200.0,1.02531305,,,,,0.57142857,,,2023-06-01,2023-11-30
2023-OUTUBRO-39,inactive,115158.0,115158,118073,1.74,–,200.0,1.02531305,,,,,0.57142857,,,2023-06-01,2023-11-30
2023-JUNHO-54,completed,558966.0,674175,1302922,0.01,–,7039.0,1.9326169,735.0,9.57687075,722.0,0.10709386,0.50981386,,,2023-06-01,2023-11-30
2023-JUNHO-55,completed,143569.0,237441,294601,0.01,–,880.0,1.24073349,230.0,3.82608696,230.0,0.09686617,2.30971129,,,2023-06-01,2023-11-30
2023-JUNHO-56,inactive,143569.0,237441,294601,0.01,–,880.0,1.24073349,230.0,3.82608696,230.0,0.09686617,2.30971129,,,2023-06-01,2023-11-30
2023-JUNHO-57,completed,78474.0,118527,146583,0.01,–,800.0,1.23670556,187.0,4.27807487,186.0,0.15692627,2.5974026,,,2023-06-01,2023-11-30
2023-JUNHO-58,inactive,78474.0,118527,146583,0.01,–,800.0,1.23670556,187.0,4.27807487,186.0,0.15692627,2.5974026,,,2023-06-01,2023-11-30
2023-JUNHO-59,completed,41740.0,94656,132555,0.02,–,800.0,1.40038666,1.0,800.0,1.0,0.00105646,8.33333333,,,2023-06-01,2023-11-30
2023-JUNHO-60,inactive,41740.0,94656,132555,0.02,–,800.0,1.40038666,1.0,800.0,1.0,0.00105646,8.33333333,,,2023-06-01,2023-11-30
2023-JUNHO-61,completed,52275.0,104864,128649,0.01,–,680.0,1.22681759,155.0,4.38709677,149.0,0.1420888,2.0668693,,,2023-06-01,2023-11-30
2023-JUNHO-62,inactive,52275.0,104864,128649,0.01,–,680.0,1.22681759,155.0,4.38709677,149.0,0.1420888,2.0668693,,,2023-06-01,2023-11-30
2023-JUNHO-63,completed,38819.0,56992,90115,0.01,–,459.0,1.58118683,3.0,153.0,3.0,0.0052639,0.29161372,,,2023-06-01,2023-11-30
2023-JUNHO-64,inactive,38819.0,56992,90115,0.01,–,459.0,1.58118683,3.0,153.0,3.0,0.0052639,0.29161372,,,2023-06-01,2023-11-30
2023-JUNHO-65,completed,44034.0,87120,99876,0.01,–,400.0,1.14641873,,,,,6.89655172,,,2023-06-01,2023-11-30
2023-JUNHO-66,inactive,44034.0,87120,99876,0.01,–,400.0,1.14641873,,,,,6.89655172,,,2023-06-01,2023-11-30
2023-JUNHO-67,completed,42556.0,79181,86715,0.01,–,400.0,1.09514909,110.0,3.63636364,108.0,0.13639636,2.09424084,,,2023-06-01,2023-11-30
2023-JUNHO-68,inactive,42556.0,79181,86715,0.01,–,400.0,1.09514909,110.0,3.63636364,108.0,0.13639636,2.09424084,,,2023-06-01,2023-11-30
2023-JUNHO-69,completed,1940.0,15084,22448,0.19,–,360.0,1.48819942,1.0,360.0,1.0,0.00662954,0.17910448,,,2023-06-01,2023-11-30
2023-JUNHO-70,inactive,1940.0,15084,22448,0.19,–,360.0,1.48819942,1.0,360.0,1.0,0.00662954,0.17910448,,,2023-06-01,2023-11-30
2023-JUNHO-71,completed,24925.0,45280,55900,0.01,–,360.0,1.23454064,1.0,360.0,1.0,0.00220848,0.24623803,,,2023-06-01,2023-11-30
2023-JUNHO-72,inactive,24925.0,45280,55900,0.01,–,360.0,1.23454064,1.0,360.0,1.0,0.00220848,0.24623803,,,2023-06-01,2023-11-30
2023-JUNHO-73,completed,53109.0,105184,129248,0.01,–,320.0,1.22878004,14.0,22.85714286,12.0,0.01140858,0.08861811,,,2023-06-01,2023-11-30
2023-JUNHO-74,inactive,53109.0,105184,129248,0.01,–,320.0,1.22878004,14.0,22.85714286,12.0,0.01140858,0.08861811,,,2023-06-01,2023-11-30
2023-JUNHO-75,completed,1234.0,6262,9398,0.26,–,320.0,1.50079847,,,,,0.24150943,,,2023-06-01,2023-11-30
2023-JUNHO-76,inactive,1234.0,6262,9398,0.26,–,320.0,1.50079847,,,,,0.24150943,,,2023-06-01,2023-11-30
2023-JUNHO-77,completed,31246.0,53122,57139,0.01,–,320.0,1.07561839,,,,,9.14285714,,,2023-06-01,2023-11-30
2023-JUNHO-78,inactive,31246.0,53122,57139,0.01,–,320.0,1.07561839,,,,,9.14285714,,,2023-06-01,2023-11-30
2023-JUNHO-79,completed,1882.0,13096,18499,0.17,–,314.0,1.41256872,1.0,314.0,1.0,0.00763592,0.14995224,,,2023-06-01,2023-11-30
2023-JUNHO-80,inactive,1882.0,13096,18499,0.17,–,314.0,1.41256872,1.0,314.0,1.0,0.00763592,0.14995224,,,2023-06-01,2023-11-30
2023-JUNHO-81,completed,1704.0,14356,17655,0.18,–,314.0,1.22979939,2.0,157.0,2.0,0.01393146,0.16773504,,,2023-06-01,2023-11-30
2023-JUNHO-82,inactive,1704.0,14356,17655,0.18,–,314.0,1.22979939,2.0,157.0,2.0,0.01393146,0.16773504,,,2023-06-01,2023-11-30
2023-JUNHO-83,completed,1459.0,9154,13541,0.21,–,312.0,1.47924405,30.0,10.4,29.0,0.3168014,0.20233463,,,2023-06-01,2023-11-30
2023-JUNHO-84,inactive,1459.0,9154,13541,0.21,–,312.0,1.47924405,30.0,10.4,29.0,0.3168014,0.20233463,,,2023-06-01,2023-11-30
2023-NOVEMBRO-1,completed,1413380.0,1413380,3049212,4.23,–,5980.0,2.15739009,1248.0,4.79166667,1241.0,0.0878037,1.23045267,,,2023-06-01,2023-11-30
2023-NOVEMBRO-2,completed,724542.0,724542,724542,2.07,–,1500.0,1.0,536.0,2.79850746,535.0,0.07383975,2.21565731,,,2023-06-01,2023-11-30
2023-NOVEMBRO-3,inactive,724542.0,724542,724542,2.07,Acima da média,1500.0,1.0,536.0,2.79850746,535.0,0.07383975,2.21565731,,,2023-06-01,2023-11-30
2023-NOVEMBRO-4,completed,372280.0,372280,383602,2.15,–,800.0,1.03041259,2.0,400.0,2.0,0.00053723,0.78354554,,,2023-06-01,2023-11-30
2023-NOVEMBRO-5,inactive,372280.0,372280,383602,2.15,–,800.0,1.03041259,2.0,400.0,2.0,0.00053723,0.78354554,,,2023-06-01,2023-11-30
2023-NOVEMBRO-6,completed,285035.0,285035,299830,2.11,–,600.0,1.05190591,3.0,200.0,3.0,0.0010525,0.90634441,,,2023-06-01,2023-11-30
2023-NOVEMBRO-7,inactive,285035.0,285035,299830,2.11,–,600.0,1.05190591,3.0,200.0,3.0,0.0010525,0.90634441,,,2023-06-01,2023-11-30
2023-NOVEMBRO-8,completed,239527.0,239527,248305,2.5,–,600.0,1.03664723,35.0,17.14285714,35.0,0.01461213,1.16731518,,,2023-06-01,2023-11-30
2023-NOVEMBRO-9,inactive,239527.0,239527,248305,2.5,–,600.0,1.03664723,35.0,17.14285714,35.0,0.01461213,1.16731518,,,2023-06-01,2023-11-30
2023-NOVEMBRO-10,completed,380627.0,380627,380627,1.58,–,600.0,1.0,256.0,2.34375,254.0,0.066732,1.8404908,,,2023-06-01,2023-11-30
2023-NOVEMBRO-11,inactive,380627.0,380627,380627,1.58,Acima da média,600.0,1.0,256.0,2.34375,254.0,0.066732,1.8404908,,,2023-06-01,2023-11-30
2023-NOVEMBRO-12,completed,303432.0,303432,303432,1.65,–,500.0,1.0,197.0,2.53807107,197.0,0.06492394,2.10084034,,,2023-06-01,2023-11-30
2023-NOVEMBRO-13,inactive,303432.0,303432,303432,1.65,Na média,500.0,1.0,197.0,2.53807107,197.0,0.06492394,2.10084034,,,2023-06-01,2023-11-30
2023-NOVEMBRO-14,completed,201754.0,201754,206644,2.38,–,480.0,1.02423744,80.0,6.0,80.0,0.03965225,1.15107914,,,2023-06-01,2023-11-30
2023-NOVEMBRO-15,inactive,201754.0,201754,206644,2.38,–,480.0,1.02423744,80.0,6.0,80.0,0.03965225,1.15107914,,,2023-06-01,2023-11-30
2023-NOVEMBRO-16,completed,159448.0,159448,162172,1.88,–,300.0,1.01708394,61.0,4.91803279,59.0,0.03700266,0.94339623,,,2023-06-01,2023-11-30
2023-NOVEMBRO-17,inactive,159448.0,159448,162172,1.88,–,300.0,1.01708394,61.0,4.91803279,59.0,0.03700266,0.94339623,,,2023-06-01,2023-11-30
2023-NOVEMBRO-18,completed,131348.0,131348,133156,2.28,–,300.0,1.01376496,,,,,1.53061224,,,2023-06-01,2023-11-30
2023-NOVEMBRO-19,inactive,131348.0,131348,133156,2.28,–,300.0,1.01376496,,,,,1.53061224,,,2023-06-01,2023-11-30
2023-NOVEMBRO-20,completed,203783.0,203783,206902,1.47,–,300.0,1.0153055,78.0,3.84615385,77.0,0.03778529,0.58365759,,,2023-06-01,2023-11-30
2023-NOVEMBRO-21,inactive,203783.0,203783,206902,1.47,–,300.0,1.0153055,78.0,3.84615385,77.0,0.03778529,0.58365759,,,2023-06-01,2023-11-30
2023-JULHO-1,completed,1305352.0,1305352,2711900,3.4,–,4434.05,2.07752392,1190.0,3.72609244,1185.0,0.09078011,1.05976338,,,2023-06-01,2023-11-30
2023-JULHO-2,completed,725344.0,725344,725344,1.38,–,1000.0,1.0,401.0,2.49376559,399.0,0.05500838,1.73611111,,,2023-06-01,2023-11-30
2023-JULHO-3,inactive,725344.0,725344,725344,1.38,–,1000.0,1.0,401.0,2.49376559,399.0,0.05500838,1.73611111,,,2023-06-01,2023-11-30
2023-JULHO-4,completed,341312.0,341312,346115,2.34,–,800.0,1.01407217,206.0,3.88349515,205.0,0.06006235,1.74672489,,,2023-06-01,2023-11-30
2023-JULHO-5,inactive,341312.0,341312,346115,2.34,–,800.0,1.01407217,206.0,3.88349515,205.0,0.06006235,1.74672489,,,2023-06-01,2023-11-30
2023-JULHO-6,completed,522892.0,522892,522892,1.34,–,700.0,1.0,313.0,2.23642173,312.0,0.05966815,1.59090909,,,2023-06-01,2023-11-30
2023-JULHO-7,inactive,522892.0,522892,522892,1.34,–,700.0,1.0,313.0,2.23642173,312.0,0.05966815,1.59090909,,,2023-06-01,2023-11-30
2023-JULHO-8,completed,290685.0,290685,297489,1.65,–,480.0,1.02340678,,,,,0.54919908,,,2023-06-01,2023-11-30
2023-JULHO-9,inactive,290685.0,290685,297489,1.65,–,480.0,1.02340678,,,,,0.54919908,,,2023-06-01,2023-11-30
2023-JULHO-10,completed,236417.0,236417,246915,1.84,–,434.05,1.04440459,,,,,0.59786501,,,2023-06-01,2023-11-30
2023-JULHO-11,inactive,236417.0,236417,246915,1.84,–,434.05,1.04440459,,,,,0.59786501,,,2023-06-01,2023-11-30
2023-JULHO-12,completed,195359.0,195359,201201,2.15,–,420.0,1.02990392,2.0,210.0,2.0,0.00102376,0.62593145,,,2023-06-01,2023-11-30
2023-JULHO-13,inactive,195359.0,195359,201201,2.15,–,420.0,1.02990392,2.0,210.0,2.0,0.00102376,0.62593145,,,2023-06-01,2023-11-30
2023-JULHO-14,completed,188127.0,188127,188844,2.13,–,400.0,1.00381126,116.0,3.44827586,116.0,0.06166047,1.52091255,,,2023-06-01,2023-11-30
2023-JULHO-15,inactive,188127.0,188127,188844,2.13,–,400.0,1.00381126,116.0,3.44827586,116.0,0.06166047,1.52091255,,,2023-06-01,2023-11-30
2023-JULHO-16,completed,180419.0,180419,183100,1.11,–,200.0,1.01485985,152.0,1.31578947,152.0,0.08424833,1.05820106,,,2023-06-01,2023-11-30
2023-JULHO-17,inactive,180419.0,180419,183100,1.11,–,200.0,1.01485985,152.0,1.31578947,152.0,0.08424833,1.05820106,,,2023-06-01,2023-11-30
2023-SETEMBRO-1,completed,1173470.0,1173470,2929894,3.66,–,4300.0,2.49677793,1400.0,3.07142857,1394.0,0.11879298,1.59200296,,,2023-06-01,2023-11-30
2023-SETEMBRO-2,completed,395522.0,395522,404995,1.26,–,500.0,1.02395063,226.0,2.21238938,225.0,0.05688685,1.77935943,,,2023-06-01,2023-11-30
2023-SETEMBRO-3,inactive,395522.0,395522,404995,1.26,–,500.0,1.02395063,226.0,2.21238938,225.0,0.05688685,1.77935943,,,2023-06-01,2023-11-30
2023-SETEMBRO-4,completed,376769.0,376769,378257,1.33,–,500.0,1.00394937,218.0,2.29357798,218.0,0.05786039,1.70068027,,,2023-06-01,2023-11-30
2023-SETEMBRO-5,inactive,376769.0,376769,378257,1.33,–,500.0,1.00394937,218.0,2.29357798,218.0,0.05786039,1.70068027,,,2023-06-01,2023-11-30
2023-SETEMBRO-6,completed,281856.0,281856,292028,1.77,–,500.0,1.03608935,289.0,1.73010381,286.0,0.10147025,1.07526882,,,2023-06-01,2023-11-30
2023-SETEMBRO-7,inactive,281856.0,281856,292028,1.77,–,500.0,1.03608935,289.0,1.73010381,286.0,0.10147025,1.07526882,,,2023-06-01,2023-11-30
2023-SETEMBRO-8,completed,330420.0,330420,330420,1.51,–,500.0,1.0,173.0,2.89017341,173.0,0.05235761,2.25225225,,,2023-06-01,2023-11-30
2023-SETEMBRO-9,inactive,330420.0,330420,330420,1.51,–,500.0,1.0,173.0,2.89017341,173.0,0.05235761,2.25225225,,,2023-06-01,2023-11-30
2023-SETEMBRO-10,completed,255355.0,255355,265531,1.96,–,500.0,1.0398504,170.0,2.94117647,169.0,0.06618237,2.29357798,,,2023-06-01,2023-11-30
2023-SETEMBRO-11,inactive,255355.0,255355,265531,1.96,–,500.0,1.0398504,170.0,2.94117647,169.0,0.06618237,2.29357798,,,2023-06-01,2023-11-30
2023-SETEMBRO-12,completed,185308.0,185308,185308,2.16,–,400.0,1.0,118.0,3.38983051,118.0,0.06367777,2.56410256,,,2023-06-01,2023-11-30
2023-SETEMBRO-13,inactive,185308.0,185308,185308,2.16,–,400.0,1.0,118.0,3.38983051,118.0,0.06367777,2.56410256,,,2023-06-01,2023-11-30
2023-SETEMBRO-14,completed,239491.0,239491,239491,1.25,–,300.0,1.0,36.0,8.33333333,36.0,0.01503188,3.0,,,2023-06-01,2023-11-30
2023-SETEMBRO-15,inactive,239491.0,239491,239491,1.25,–,300.0,1.0,36.0,8.33333333,36.0,0.01503188,3.0,,,2023-06-01,2023-11-30
2023-SETEMBRO-16,completed,235122.0,235122,244712,1.28,–,300.0,1.04078734,,,,,0.47169811,,,2023-06-01,2023-11-30
2023-SETEMBRO-17,inactive,235122.0,235122,244712,1.28,–,300.0,1.04078734,,,,,0.47169811,,,2023-06-01,2023-11-30
2023-SETEMBRO-18,completed,183721.0,183721,183721,1.63,–,300.0,1.0,95.0,3.15789474,95.0,0.05170884,2.45901639,,,2023-06-01,2023-11-30
2023-SETEMBRO-19,inactive,183721.0,183721,183721,1.63,–,300.0,1.0,95.0,3.15789474,95.0,0.05170884,2.45901639,,,2023-06-01,2023-11-30
2023-SETEMBRO-20,completed,231415.0,231415,231415,1.3,–,300.0,1.0,75.0,4.0,75.0,0.03240931,1.72413793,,,2023-06-01,2023-11-30
2023-SETEMBRO-21,inactive,231415.0,231415,231415,1.3,–,300.0,1.0,75.0,4.0,75.0,0.03240931,1.72413793,,,2023-06-01,2023-11-30
2023-SETEMBRO-22,completed,174016.0,174016,174016,1.15,–,200.0,1.0,,,,,5.88235294,,,2023-06-01,2023-11-30
2023-SETEMBRO-23,inactive,174016.0,174016,174016,1.15,–,200.0,1.0,,,,,5.88235294,,,2023-06-01,2023-11-30
2023-OUTUBRO-40,completed,81988.0,164265,276729,0.03,–,2399.95,1.6846498,1430.0,1.67828671,1375.0,0.83706206,0.24721364,,,2023-06-01,2023-11-30
2023-OUTUBRO-41,completed,2168.0,21619,27817,0.18,–,400.0,1.28669226,32.0,12.5,31.0,0.14339239,0.16934801,,,2023-06-01,2023-11-30
2023-OUTUBRO-42,inactive,2168.0,21619,27817,0.18,Acima da média,400.0,1.28669226,32.0,12.5,31.0,0.14339239,0.16934801,,,2023-06-01,2023-11-30
2023-OUTUBRO-43,completed,2132.0,25032,29555,0.19,–,400.0,1.18068872,3.0,133.33333333,3.0,0.01198466,0.18281536,,,2023-06-01,2023-11-30
2023-OUTUBRO-44,inactive,2132.0,25032,29555,0.19,Na média,400.0,1.18068872,3.0,133.33333333,3.0,0.01198466,0.18281536,,,2023-06-01,2023-11-30
2023-OUTUBRO-45,completed,2263.0,19736,27034,0.14,–,319.98,1.36978111,1.0,319.98,1.0,0.00506688,0.12383127,,,2023-06-01,2023-11-30
2023-OUTUBRO-46,inactive,2263.0,19736,27034,0.14,Acima da média,319.98,1.36978111,1.0,319.98,1.0,0.00506688,0.12383127,,,2023-06-01,2023-11-30
2023-OUTUBRO-47,completed,1376.0,12165,15224,0.2,–,280.0,1.2514591,,,,,0.19704433,,,2023-06-01,2023-11-30
2023-OUTUBRO-48,inactive,1376.0,12165,15224,0.2,Na média,280.0,1.2514591,,,,,0.19704433,,,2023-06-01,2023-11-30
2023-OUTUBRO-49,completed,24181.0,45252,61045,0.01,–,200.0,1.34900115,807.0,0.24783147,787.0,1.73914965,0.1242236,,,2023-06-01,2023-11-30
2023-OUTUBRO-50,inactive,24181.0,45252,61045,0.01,–,200.0,1.34900115,807.0,0.24783147,787.0,1.73914965,0.1242236,,,2023-06-01,2023-11-30
2023-OUTUBRO-51,completed,18403.0,32436,45218,0.01,–,200.0,1.39406832,457.0,0.43763676,440.0,1.35651745,0.21645022,,,2023-06-01,2023-11-30
2023-OUTUBRO-52,inactive,18403.0,32436,45218,0.01,–,200.0,1.39406832,457.0,0.43763676,440.0,1.35651745,0.21645022,,,2023-06-01,2023-11-30
2023-OUTUBRO-53,completed,1285.0,9469,13632,0.16,–,200.0,1.43964516,17.0,11.76470588,16.0,0.16897244,0.12944984,,,2023-06-01,2023-11-30
2023-OUTUBRO-54,inactive,1285.0,9469,13632,0.16,–,200.0,1.43964516,17.0,11.76470588,16.0,0.16897244,0.12944984,,,2023-06-01,2023-11-30
2023-OUTUBRO-55,completed,16327.0,25223,28754,0.01,–,199.99,1.13999128,63.0,3.17444444,61.0,0.24184276,1.98009901,,,2023-06-01,2023-11-30
2023-OUTUBRO-56,inactive,16327.0,25223,28754,0.01,–,199.99,1.13999128,63.0,3.17444444,61.0,0.24184276,1.98009901,,,2023-06-01,2023-11-30
2023-OUTUBRO-57,completed,13853.0,24688,28450,0.01,–,199.98,1.15238172,50.0,3.9996,49.0,0.19847699,2.35270588,,,2023-06-01,2023-11-30
2023-OUTUBRO-58,inactive,13853.0,24688,28450,0.01,–,199.98,1.15238172,50.0,3.9996,49.0,0.19847699,2.35270588,,,2023-06-01,2023-11-30
2023-AGOSTO-40,completed,194330.0,224001,443947,0.01,–,2160.0,1.9818974,282.0,7.65957447,278.0,0.12410659,0.28272251,,,2023-06-01,2023-11-30
2023-AGOSTO-41,completed,36097.0,77361,97642,0.01,–,400.0,1.26216052,,,,,0.18289895,,,2023-06-01,2023-11-30
2023-AGOSTO-42,inactive,36097.0,77361,97642,0.01,–,400.0,1.26216052,,,,,0.18289895,,,2023-06-01,2023-11-30
2023-AGOSTO-43,completed,28795.0,57216,64816,0.01,–,360.0,1.13282998,194.0,1.8556701,192.0,0.33557047,1.24567474,,,2023-06-01,2023-11-30
2023-AGOSTO-44,inactive,28795.0,57216,64816,0.01,–,360.0,1.13282998,194.0,1.8556701,192.0,0.33557047,1.24567474,,,2023-06-01,2023-11-30
2023-AGOSTO-45,completed,30583.0,51040,70204,0.01,–,360.0,1.37547022,,,,,0.24064171,,,2023-06-01,2023-11-30
2023-AGOSTO-46,inactive,30583.0,51040,70204,0.01,–,360.0,1.37547022,,,,,0.24064171,,,2023-06-01,2023-11-30
2023-AGOSTO-47,completed,1458.0,6198,9466,0.16,–,240.0,1.52726686,2.0,120.0,2.0,0.03226847,0.16551724,,,2023-06-01,2023-11-30
2023-AGOSTO-48,inactive,1458.0,6198,9466,0.16,–,240.0,1.52726686,2.0,120.0,2.0,0.03226847,0.16551724,,,2023-06-01,2023-11-30
2023-AGOSTO-49,completed,38389.0,54849,62920,0.01,–,200.0,1.14714945,84.0,2.38095238,83.0,0.15132455,1.53846154,,,2023-06-01,2023-11-30
2023-AGOSTO-50,inactive,38389.0,54849,62920,0.01,–,200.0,1.14714945,84.0,2.38095238,83.0,0.15132455,1.53846154,,,2023-06-01,2023-11-30
2023-AGOSTO-51,completed,10902.0,16904,34191,0.02,–,200.0,2.02265736,,,,,0.5988024,,,2023-06-01,2023-11-30
2023-AGOSTO-52,inactive,10902.0,16904,34191,0.02,–,200.0,2.02265736,,,,,0.5988024,,,2023-06-01,2023-11-30
2023-AGOSTO-53,completed,32101.0,45776,70846,0.01,–,200.0,1.5476669,2.0,100.0,2.0,0.0043691,0.12507817,,,2023-06-01,2023-11-30
2023-AGOSTO-54,inactive,32101.0,45776,70846,0.01,–,200.0,1.5476669,2.0,100.0,2.0,0.0043691,0.12507817,,,2023-06-01,2023-11-30
2023-AGOSTO-55,completed,16005.0,20540,33862,0.01,–,200.0,1.64858812,,,,,0.28490028,,,2023-06-01,2023-11-30
2023-AGOSTO-56,inactive,16005.0,20540,33862,0.01,–,200.0,1.64858812,,,,,0.28490028,,,2023-06-01,2023-11-30
2023-NOVEMBRO-22,completed,35304.0,91440,178997,0.05,–,1720.0,1.957535,130.0,13.23076923,130.0,0.14216973,0.31002163,,,2023-06-01,2023-11-30
2023-NOVEMBRO-23,completed,2799.0,29772,40041,0.14,–,400.0,1.3449214,22.0,18.18181818,22.0,0.07389493,0.15564202,,,2023-06-01,2023-11-30
2023-NOVEMBRO-24,inactive,2799.0,29772,40041,0.14,Na média,400.0,1.3449214,22.0,18.18181818,22.0,0.07389493,0.15564202,,,2023-06-01,2023-11-30
2023-NOVEMBRO-25,completed,27223.0,46368,91401,0.01,–,400.0,1.97120859,22.0,18.18181818,22.0,0.04744651,1.68776371,,,2023-06-01,2023-11-30
2023-NOVEMBRO-26,inactive,27223.0,46368,91401,0.01,Acima da média,400.0,1.97120859,22.0,18.18181818,22.0,0.04744651,1.68776371,,,2023-06-01,2023-11-30
2023-NOVEMBRO-27,completed,1449.0,10426,15455,0.22,–,320.0,1.48235181,37.0,8.64864865,37.0,0.35488203,0.22408964,,,2023-06-01,2023-11-30
2023-NOVEMBRO-28,inactive,1449.0,10426,15455,0.22,Acima da média,320.0,1.48235181,37.0,8.64864865,37.0,0.35488203,0.22408964,,,2023-06-01,2023-11-30
2023-NOVEMBRO-29,completed,1357.0,9168,12764,0.15,–,200.0,1.39223386,19.0,10.52631579,19.0,0.20724258,0.1510574,,,2023-06-01,2023-11-30
