Campanha,Status de veiculação,Resultados,Alcance,Impressões,Custo por resultado,Classificação de qualidade,Valor usado (BRL),Frequência,Cliques no link,CPC (custo por clique no link),Cliques no link únicos,CTR único (taxa de cliques no link),Custo por clique único (todos),Cadastros,Custo por cadastro,Início dos relatórios,Término dos relatórios
2023-JUNHO-2,completed,1519381.0,1519381,1541370,2.04,–,3100.0,1.01447234,252.0,12.3015873,251.0,0.01651989,3.52673493,,,2023-06-01,2023-11-30
2023-JUNHO-3,inactive,1519381.0,1519381,1541370,2.04,–,3100.0,1.01447234,252.0,12.3015873,251.0,0.01651989,3.52673493,,,2023-06-01,2023-11-30
2023-JUNHO-4,completed,857088.0,857088,870197,2.57,–,2200.0,1.01529481,191.0,11.51832461,190.0,0.02216809,4.11985019,,,2023-06-01,2023-11-30
2023-JUNHO-5,inactive,857088.0,857088,870197,2.57,–,2200.0,1.01529481,191.0,11.51832461,190.0,0.02216809,4.11985019,,,2023-06-01,2023-11-30
2023-JUNHO-6,completed,836244.0,836244,847233,2.39,–,2000.0,1.0131409,643.0,3.11041991,643.0,0.07689143,2.3923445,,,2023-06-01,2023-11-30
2023-JUNHO-7,inactive,836244.0,836244,847233,2.39,–,2000.0,1.0131409,643.0,3.11041991,643.0,0.07689143,2.3923445,,,2023-06-01,2023-11-30
2023-JUNHO-8,completed,791534.0,791534,791534,2.15,–,1700.0,1.0,260.0,6.53846154,254.0,0.03208959,2.88624788,,,2023-06-01,2023-11-30
2023-JUNHO-9,inactive,791534.0,791534,791534,2.15,–,1700.0,1.0,260.0,6.53846154,254.0,0.03208959,2.88624788,,,2023-06-01,2023-11-30
2023-JUNHO-10,completed,795405.0,795405,797410,1.66,–,1320.0,1.00252073,252.0,5.23809524,250.0,0.03143053,2.48120301,,,2023-06-01,2023-11-30
2023-JUNHO-11,inactive,795405.0,795405,797410,1.66,–,1320.0,1.00252073,252.0,5.23809524,250.0,0.03143053,2.48120301,,,2023-06-01,2023-11-30
2023-JUNHO-12,completed,724855.0,724855,729014,1.82,–,1320.0,1.0057377,494.0,2.67206478,493.0,0.0680136,2.05607477,,,2023-06-01,2023-11-30
2023-JUNHO-13,inactive,724855.0,724855,729014,1.82,–,1320.0,1.0057377,494.0,2.67206478,493.0,0.0680136,2.05607477,,,2023-06-01,2023-11-30
2023-JUNHO-14,completed,607267.0,607267,607267,1.98,–,1200.0,1.0,160.0,7.5,160.0,0.02634755,2.83687943,,,2023-06-01,2023-11-30
2023-JUNHO-15,inactive,607267.0,607267,607267,1.98,–,1200.0,1.0,160.0,7.5,160.0,0.02634755,2.83687943,,,2023-06-01,2023-11-30
2023-JUNHO-16,completed,358017.0,358017,359480,2.85,–,1020.0,1.0040864,186.0,5.48387097,184.0,0.05139421,2.46973366,,,2023-06-01,2023-11-30
